metric,lambda_dot_xi,seed,shared,split,delta_split_minus_shared,relative_delta,row_type,sign_consistency
low_u_post_e_parallel_rmse,0.034,202,0.09537217539948231,0.0965775657189099,0.0012053903194275822,0.012638804917457353,seed,
low_u_post_e_parallel_rmse,0.034,303,0.09840082299688513,0.10293981041134585,0.004538987414460724,0.046127535077673136,seed,
low_u_post_e_parallel_rmse,0.034,mean,0.10300363868735692,0.10507358703056795,0.002069948343211022,0.02093517507728088,aggregate,all_positive_degradation
dense_0p05_e_perp_rmse,0.0,101,0.020165006271496113,0.01650221041311384,-0.0036627958583822715,-0.18164119609324156,seed,
dense_0p05_e_perp_rmse,0.0,202,0.01342575414660743,0.008465853931832364,-0.0049599002147750655,-0.36943177721069687,seed,
dense_0p05_e_perp_rmse,0.0,303,0.020428008708424296,0.011597903314266972,-0.008830105394157324,-0.43225482817206173,seed,
dense_0p05_e_perp_rmse,0.0,mean,0.018006256375509278,0.012188655886404392,-0.005817600489104888,-0.3277759338253334,aggregate,all_negative_improvement
dense_0p05_e_perp_rmse,0.034,101,0.020428883301888568,0.01646691061095561,-0.003961972690932958,-0.19393975835021238,seed,
dense_0p05_e_perp_rmse,0.034,202,0.013891536912508344,0.008765130662229163,-0.005126406250279181,-0.3690308914388886,seed,
dense_0p05_e_perp_rmse,0.034,303,0.019433358016786896,0.020926916701025207,0.0014935586842383108,0.07685540928892202,seed,
dense_0p05_e_perp_rmse,0.034,mean,0.01791792607706127,0.015386319324736658,-0.0025316067523246093,-0.16203841350005962,aggregate,mixed
dense_0p05_e_parallel_rmse,0.0,101,0.03329636474707091,0.03465548771767028,0.001359122970599376,0.04081895969496005,seed,
dense_0p05_e_parallel_rmse,0.0,202,0.015070010278602441,0.02600329999611762,0.010933289717515178,0.7254998182077621,seed,
dense_0p05_e_parallel_rmse,0.0,303,0.03459956504831022,0.02246578944927662,-0.012133775599033603,-0.35069156453532335,seed,
dense_0p05_e_parallel_rmse,0.0,mean,0.027655313357994524,0.027708192387688176,5.287902969365021e-05,0.1385424044557996,aggregate,mixed
dense_0p05_e_parallel_rmse,0.034,101,0.030592781193585303,0.029605151061371196,-0.0009876301322141075,-0.03228311038360886,seed,
dense_0p05_e_parallel_rmse,0.034,202,0.023490265509999272,0.017673430115043978,-0.0058168353949552935,-0.24762748605285875,seed,
dense_0p05_e_parallel_rmse,0.034,303,0.0279260737819512,0.02349149970835409,-0.004434574073597111,-0.15879690457822984,seed,
dense_0p05_e_parallel_rmse,0.034,mean,0.02733637349517859,0.023590026961589756,-0.0037463465335888374,-0.1462358336715658,aggregate,all_negative_improvement
dense_0p05_x_rmse,0.0,101,0.11681269622547587,0.11291418920663528,-0.0038985070188405913,-0.03337400081336672,seed,
dense_0p05_x_rmse,0.0,202,0.03518865735101889,0.09958607589264001,0.06439741854162112,1.830061826435571,seed,
dense_0p05_x_rmse,0.0,303,0.19850613677017434,0.0478850129400007,-0.15062112383017365,-0.7587731355860257,seed,
dense_0p05_x_rmse,0.0,mean,0.11683583011555636,0.08679509267975866,-0.030040737435797705,0.34597156334539286,aggregate,mixed
dense_0p05_x_rmse,0.034,101,0.10903740320782572,0.0967841424451044,-0.012253260762721319,-0.11237667444598397,seed,
dense_0p05_x_rmse,0.034,202,0.09078139334598218,0.061270714891271616,-0.02951067845471056,-0.32507408585634634,seed,
dense_0p05_x_rmse,0.034,303,0.16810662384707062,0.09947777401318483,-0.06862884983388579,-0.40824595880480347,seed,
dense_0p05_x_rmse,0.034,mean,0.12264180680029284,0.08584421044985362,-0.03679759635043922,-0.28189890636904463,aggregate,all_negative_improvement
energy_rmse,0.0,101,0.02482248685595032,0.04404956343336535,0.01922707657741503,0.7745830097118579,seed,
energy_rmse,0.0,202,0.023120109280983077,0.022387602015039466,-0.0007325072659436112,-0.031682690468341275,seed,
energy_rmse,0.0,303,0.03101489272663475,0.02141302209357318,-0.00960187063306157,-0.3095890325235832,seed,
energy_rmse,0.0,mean,0.026319162954522718,0.029283395847326,0.0029642328928032834,0.14443709557331114,aggregate,mixed
energy_rmse,0.034,101,0.030856393454421097,0.026503196036666687,-0.0043531974177544105,-0.14107926852127578,seed,
energy_rmse,0.034,202,0.014871597945899965,0.021801299257511703,0.006929701311611738,0.4659688445599907,seed,
energy_rmse,0.034,303,0.01687570702899059,0.016857300117488885,-1.8406911501706036e-05,-0.0010907342412430486,seed,
energy_rmse,0.034,mean,0.02086789947643722,0.021720598470555758,0.0008526989941185405,0.10793294726582396,aggregate,mixed
